time,nb_people,people_passed
21:39:01,0,0
21:39:10,35,35
21:39:16,51,16
21:39:20,54,3
21:39:30,91,37
21:39:38,123,32
21:39:51,192,69
21:40:04,229,37
21:40:13,286,57
21:40:19,354,68
21:40:28,401,47
21:40:36,474,73
21:40:44,544,70
21:40:54,607,63
21:41:02,660,53
21:41:11,699,39
21:41:19,736,37
21:41:27,779,43
21:41:35,838,59
21:41:43,883,45
21:41:49,934,51
21:41:58,991,57
21:42:03,1048,57
21:42:09,1103,55
21:42:17,1161,58
21:42:24,1210,49
21:42:33,1259,49
21:42:40,1301,42
21:42:47,1355,54
21:42:58,1416,61
21:43:07,1452,36
21:43:18,1501,49
21:43:26,1549,48
21:43:36,1601,52
21:43:46,1659,58
21:43:58,1681,22
21:44:10,1716,35
21:44:20,1757,41
21:44:30,1777,20
21:44:50,1780,3
21:45:05,1791,11
21:45:14,1799,8
21:45:25,1803,4